"BlockGroup","NAME","TotHH","TotPerson","TotMale","MaleLT5Yrs","Male5to9Yrs","Male10to14Yrs","Male15to17Yrs","Male18to19Yrs","Male20Yrs","Male21Yrs","Male22to24Yrs","Male25to29Yrs","Male30to34Yrs","Male35to39Yrs","Male40to44Yrs","Male45to49Yrs","Male50to54Yrs","Male55to59Yrs","Male60to61Yrs","Male62to64Yrs","Male65to66Yrs","Male67to69Yrs","Male70to74Yrs","Male75to79Yrs","Male80to84Yrs","MaleGE85Yrs","TotFemale","FemaleLT5Yrs","Female5to9Yrs","Female10to14Yrs","Female15to17Yrs","Female18to19Yrs","Female20Yrs","Female21Yrs","Female22to24Yrs","Female25to29Yrs","Female30to34Yrs","Female35to39Yrs","Female40to44Yrs","Female45to49Yrs","Female50to54Yrs","Female55to59Yrs","Female60to61Yrs","Female62to64Yrs","Female65to66Yrs","Female67to69Yrs","Female70to74Yrs","Female75to79Yrs","Female80to84Yrs","FemaleGE85Yrs","Tract","Age1_Female","Age2_Female","Age3_Female","Age1_Male","Age2_Male","Age3_Male","Age1_Total","Age2_Total","Age3_Total","Target_Total","Tract_Name"
"240338059091","Block Group 1, Census Tract 8059.09, Prince George's County, Maryland",717,1616,893,50,41,32,14,14,27,21,112,241,109,54,38,21,21,25,14,18,4,10,9,3,12,3,723,48,21,28,5,8,13,16,91,178,70,48,33,25,27,28,11,24,3,12,6,11,12,5,"24033805909",457,115,49,616,99,41,1073,214,90,1377," Census Tract 8059.09, Prince George's County, Maryland"
"240338059092","Block Group 2, Census Tract 8059.09, Prince George's County, Maryland",1146,2645,1318,123,91,68,51,33,22,28,112,185,146,107,74,76,76,64,12,14,11,9,4,7,5,0,1327,102,81,76,45,36,33,35,113,213,125,97,91,89,64,38,21,23,8,14,16,3,2,2,"24033805909",743,235,45,707,242,36,1450,477,81,2008," Census Tract 8059.09, Prince George's County, Maryland"
"240338060001","Block Group 1, Census Tract 8060, Prince George's County, Maryland",927,2476,1257,80,66,66,51,33,22,23,89,166,111,100,95,80,70,69,22,33,20,21,17,8,10,5,1219,63,61,65,36,36,12,25,104,129,108,79,84,83,69,88,30,37,19,26,19,11,15,20,"24033806000",577,307,110,639,274,81,1216,581,191,1988," Census Tract 8060, Prince George's County, Maryland"
"240338060002","Block Group 2, Census Tract 8060, Prince George's County, Maryland",873,2595,1352,122,91,111,45,42,23,17,72,146,158,125,93,72,75,57,16,24,13,15,12,6,6,11,1243,105,104,88,50,42,24,17,60,127,120,104,80,79,62,62,13,20,17,9,18,6,15,21,"24033806000",574,236,86,676,244,63,1250,480,149,1879," Census Tract 8060, Prince George's County, Maryland"
"240338061001","Block Group 1, Census Tract 8061, Prince George's County, Maryland",620,1835,962,75,52,58,37,29,19,11,43,97,83,88,64,70,66,61,15,25,18,11,17,8,7,8,873,46,43,53,36,20,19,9,42,65,61,78,57,80,73,54,18,26,11,15,25,16,17,9,"24033806100",351,251,93,434,237,69,785,488,162,1435," Census Tract 8061, Prince George's County, Maryland"
"240338061002","Block Group 2, Census Tract 8061, Prince George's County, Maryland",651,1650,829,67,39,47,30,21,15,5,37,79,78,62,62,57,54,58,23,27,18,17,8,6,10,9,821,50,46,31,27,25,9,8,42,80,61,59,50,83,69,64,25,18,15,9,15,10,10,15,"24033806100",334,259,74,359,219,68,693,478,142,1313," Census Tract 8061, Prince George's County, Maryland"
"240338061003","Block Group 3, Census Tract 8061, Prince George's County, Maryland",344,895,437,42,29,27,23,11,2,10,22,33,40,23,26,43,34,31,14,4,1,5,9,2,3,3,458,33,36,28,19,8,5,4,15,45,27,34,37,31,39,33,10,10,5,7,16,4,8,4,"24033806100",175,123,44,167,126,23,342,249,67,658," Census Tract 8061, Prince George's County, Maryland"
"240338062001","Block Group 1, Census Tract 8062, Prince George's County, Maryland",1100,2470,1190,82,82,59,42,34,13,23,59,108,126,66,101,93,89,62,30,40,10,12,21,19,11,8,1280,87,78,60,39,20,16,11,43,110,122,92,97,110,81,94,32,39,23,22,38,19,18,29,"24033806200",511,356,149,530,314,81,1041,670,230,1941," Census Tract 8062, Prince George's County, Maryland"
"240338062002","Block Group 2, Census Tract 8062, Prince George's County, Maryland",601,1542,735,51,60,45,32,12,11,15,35,70,56,48,50,54,56,47,15,21,13,10,17,11,6,0,807,52,46,57,34,25,8,8,37,71,55,50,62,49,76,63,18,26,17,15,18,3,12,5,"24033806200",316,232,70,297,193,57,613,425,127,1165," Census Tract 8062, Prince George's County, Maryland"
"240338063001","Block Group 1, Census Tract 8063, Prince George's County, Maryland",473,1195,635,51,42,35,19,9,9,10,34,60,70,63,41,46,35,38,18,17,6,6,15,4,5,2,560,51,26,38,18,16,4,11,21,56,52,45,49,38,45,34,11,10,6,7,8,11,2,1,"24033806300",254,138,35,296,154,38,550,292,73,915," Census Tract 8063, Prince George's County, Maryland"
